ID	Latin Name	Cultivar	Notes on cultivar	Synonyms	Pull out	Record checked	Last update
192	Aronia melanocarpa	'Nero'	This cultivar has fruits twice the size of the species with a vitamin C content of 15 - 30 mg (per 100g?). The fruit is borne in clusters of about 15, it is more flavourful and the yield is about twice that of wild forms[183].		0	0	28/9/96 0:00:00
193	Artemisia absinthum	''	No entries have been made for this species as yet.		0	0	
194	Artemisia dracunculus	'Epicure'	A very fragrant cultivar[183].		0	0	26/1/97 0:00:00
195	Artemisia lactiflora	''	No entries have been made for this species as yet.		0	0	
196	Artemisia ludoviciana	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
197	Artemisia stelleriana	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
198	Artemisia vulgaris	'White'	"A taller plant than the type species, growing to 1.5 metres in height. It has a strong, rather resinous or ""floral"" taste similar to chrysanthemum leaves and is used in soups or fried as a side dish[183]."		0	0	26/1/97 0:00:00
199	Aruncus dioicus	'Kneiffii'	This cultivar is only half the size of the type species[208].		0	0	26/1/97 0:00:00
200	Asimina triloba	''	No entries have been made for this species as yet.		0	0	
201	Asparagus officinalis	'Connover's Colossal'			0	0	
202	Asplenium scolopendrium	''	No entries have been made for this species as yet.		0	0	
203	Aster amellus	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
204	Aster cordifolius	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
205	Aster novi-belgii	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
206	Astilbe chinensis	'Pumila'	A dwarf form growing only 25cm tall[200], this cultivar is particularly recommended or ground cover[233].		0	0	1998-08-01 00:00
207	Astrantia major	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
208	Athyrium filix-femina	'Minor'	This cultivar has a denser habit and spreads more freely, making a better ground cover plant than the species[208].		0	0	1998-05-01 00:00
209	Atriplex hortensis	'Chakwat'	An improved cultivar, developed in N. India, with dark green leaves[183].		0	0	1996-01-10 00:00
210	Atriplex hortensis	'Magenta Purple'	A very attractive deep-purple form with excellent flavour[183].The plant grows 60 - 90cm tall[183].		0	0	1996-01-10 00:00
211	Atriplex hortensis	'Red'	A very attractive form, both the leaves and the stems are dark-red in colour, making it a popular garnish in the restaurant trade[183]. It usually turns green when cooked, though it is claimed that some forms retain their colour[183].	'Purple' 'Rubra'	0	0	1996-01-10 00:00
212	Atriplex hortensis	'Yellow'	The leaves are a very pale green, almost yellow. This is the most widely grown cultivar in France, where it is considered to be the sweetest and most tender type for use as a boiled or steamed vegetable[183].	'Golden' 'White' 'Blonde' 'Belle Dame'	0	0	1996-01-10 00:00
213	Aubrietia deltoidea	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
214	Aucuba japonica	'Nana Rotundifolia'	A freely-fruiting female dwarf form[11, 200], it can be grown for ground cover and will form a hummock of growth about 1 metre across[208].		0	0	1998-08-01 00:00
215	Aurinia saxatilis	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
216	Avena nuda	'Freedom'	A tall cultivar for early spring sowing and late summer harvesting[183]. It has been selected for higher yields. When threshed, the seeds are relatively free of the tough inedible hulls[183].		0	0	1996-06-10 00:00
217	Avena nuda	'Terra'	A long grain type, it is very productive for a hulless oat and is considered to be the best cultivar for home growing[183].The plant has relatively short straw and should be sown in spring. It ripens in 90 days from sowing[183].		0	0	1996-06-10 00:00
218	Avena nuda	'Tibor'	This cultivar has long blonde kernels, about 5% of which remain covered with the inedible hulls[183].Plants grow about 1.1 metres tall, they are resistant to smut and to lodging[183]. They mature in 100 days from seed[183].		0	0	1996-06-10 00:00
219	Avena sativa	''	There are many named varieties of this cultivated cereal, with new forms being developed each year. At present there is not time to enter these in the database.		0	0	1996-01-10 00:00
220	Ballota nigra	''	No entries have been made for this species as yet.		0	0	
221	Bambusa multiplex	''	No entries have been made for this species as yet.		0	0	
222	Banksia integrifolia	''	No entries have been made for this species as yet.		0	0	
223	Barbarea vulgaris	''	No entries have been made for this species as yet.		0	0	
224	Basella alba	'Eclipse'	Producing a crop in 55 - 60 days in warm areas, this is a very early cultivar producing small and compact plants that can be planted close together[183]. The leaves are thick and medium to deep green in colour[183].Yields very well under warm humid conditions[183].		0	0	1996-08-11 00:00
225	Basella alba	'Red'	The leaves, stems and flowers are tinged with red. The colour is lost when the plant is cooked and so it is best used in salads[183].	'Red Stemmed' 'Rubra'	0	0	1996-01-10 00:00
226	Bellis perennis	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
227	Benincasa hispida	''	No entries have been made for this species as yet.		0	0	
228	Berberis aggregata	'Sibbertoft Coral'	This form is very closely related to B. aggregata and fruits well in Britain[11].		0	0	26/1/97 0:00:00
229	Berberis amurensis	''	No entries have been made for this species as yet.		0	0	
230	Berberis buxifolia	'Nana'	This is a slow-growing dwarf cultivar. It does not set fruit well, though it flowers freely. The fruits that are formed have a pleasant acid flavour and often do not contain seeds[K].This cultivar also makes a good small hedge.		0	0	1998-05-01 00:00
231	Berberis gagnepainii	''	No entries have been made for this species as yet.		0	0	
232	Berberis georgii	''	No entries have been made for this species as yet.		0	0	
233	Berberis rubrostilla	'Crawleyensis'	This cultivar has larger fruits than the species, they are up to 1.5cm long[200].		0	0	28/9/96 0:00:00
234	Berberis thunbergii	'Atropurpurea Nana'	A low growing form to about 60cm tall with reddish-purple leaves[11, 200], it can be used for ground cover[208]. It makes a dense covering when planted 30cm apart each way[208].		0	0	1998-08-01 00:00
235	Berberis vulgaris	'Asperma'	A seedless form that was often used in France to make a jam[182, 183]. It is quite possibly lost to cultivation[K].		0	0	26/1/97 0:00:00
236	Berberis vulgaris	'Dulcis'	The fruit of this form is sweet or slightly sour[200].		0	0	26/1/97 0:00:00
237	Berberis x carminea	'Buccaneer'	The fruits are considerably larger than either of the parent species, averaging 10mm or more in diameter[K]. The flavour is quite acidic[K].		0	0	1996-10-11 00:00
238	Berberis x lologensis	'Mystery Fire'	This cultivar bears very large crops of fruit, even on small plants[K]. The fruit is the same size as the species[K].		0	0	26/1/97 0:00:00
239	Berberis x stenophylla	'Corallina'	A cultivar with a prostrate growth habit, it is suitable for use as a ground cover[208].		0	0	1998-05-01 00:00
240	Berberis x stenophylla	'Prostrata'	A cultivar with a prostrate growth habit, it is suitable for use as a ground cover[208].		0	0	1998-05-01 00:00
241	Bergenia cordifolia	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
242	Beta vulgaris altissima	''	No entries have been made for this species as yet.		0	0	
243	Beta vulgaris craca	'Albinia Verecunda'	An old variety, the round roots have a very sweet flavour[264].		0	0	2000-09-02 00:00
244	Beta vulgaris craca	'Barbietola de Chioggia'	An old Italian variety, the round root has alternating white and red rings when it is eaten raw, though it turns pale pink once it is cooked[264]. The flavour has been variously described as being delicious or horrible - it is most likely that the young root is delicious but becomes less desireable with age[264].	'Chioggia'	0	0	2000-09-02 00:00
245	Beta vulgaris craca	'Bolthardy'	A fast-maturing form with a round root, it is resistant to the bolting caused by cold spring weather and so is suitable for the earliest sowings[264].		0	0	2000-09-02 00:00
246	Beta vulgaris craca	'Burpee's Golden'	The round roots are golden yellow in colour, though their flavour is similar to the red cultivars[264].		0	0	2000-09-02 00:00
247	Beta vulgaris craca	'Cylindra'	A long rooted form with dark red roots[264]. It is suitable for sowing as a main crop for winter use.		0	0	2000-09-02 00:00
248	Beta vulgaris craca	'Detroit Little Ball'	A fast-growing bolt-resistant early maturing variety, it can be sown in early spring to produce an early summer harvest[264]. The round root has distinctive pale rings[264].		0	0	2000-09-02 00:00
249	Beta vulgaris craca	'MacGregor's Favourite'	An old Scottish cultivar with a long deep red root[264]. It is best suited as a maincrop for winter use.		0	0	2000-09-02 00:00
250	Beta vulgaris craca	'Monogram'	This cultivar produces monogerm seed, thus there is only one plant that can germinate from each seed which greatly reduces the need to thin the plants. It produces a root that is is a flattened sphere and is also resistant to bolting which makes it suitable for sowing as an early crop[264].		0	0	2000-09-02 00:00
251	Beta vulgaris craca	'Monopoly'	This cultivar produces monogerm seed, thus there is only one plant that can germinate from each seed which greatly reduces the need to thin the plants. It produces a purplish-red root that is is a flattened sphere and is also resistant to bolting which makes it suitable for sowing as an early crop[264].		0	0	2000-09-02 00:00
252	Beta vulgaris craca	'Regala'	The small-leaves variety with a round, purplish-red root that has fairly distinctive zones. It is resistant to bolting[264].		0	0	2000-09-02 00:00
253	Beta vulgaris flavescens	''	There are some named varieties of this annual vegetable, with new forms being developed. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
254	Betula pendula	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
255	Blechnum spicant	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
256	Brachyglottis Dunedin Hybrids	'Sunshine'	Grows well in the milder areas of Britain where it tolerates temperatures down to about -15°c[184].Very tolerant of maritime exposure, it can be grown as a windbreak hedge[29]. Fairly slow growing though, eventually making a dense hedge to 1.5m tall[29].Plants can be grown as a dense ground cover. They take about two years to form an effective cover[197].		0	0	
257	Brassica carinata	'Texsel'	This form is especially good for temperate climates, it is fast growing even at relatively low temperatures[141, 200].Immature plants are excellent as a green leafy vegetable, the flavour is somewhat milder than cabbage greens, without the pungency of mustard greens[183].		0	0	1996-01-10 00:00
258	Brassica juncea	''	There are many named varieties of this annual vegetable, with new forms being developed each year. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
259	Brassica juncea crispifolia	''	There are some named varieties of this annual vegetable, with new forms being developed. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
260	Brassica juncea foliosa	''	There are some named varieties of this annual vegetable, with new forms being developed. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
261	Brassica juncea multiceps	''	There are some named varieties of this annual vegetable, with new forms being developed. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
262	Brassica juncea napiformis	''	No entries have been made for this species as yet.		0	0	
263	Brassica juncea rugosa	''	No entries have been made for this species as yet.		0	0	
264	Brassica juncea tumida	''	There are some named varieties of this annual vegetable, with new forms being developed. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
265	Brassica napus	''	No entries have been made for this species as yet.		0	0	
266	Brassica napus napobrassica	''	There are many named varieties of this annual vegetable, with new forms being developed each year. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
267	Brassica nigra	''	No entries have been made for this species as yet.		0	0	
268	Brassica oleracea	'Tree Collards'	This is a perennial form of cabbage that is said to live for 20 years or more.The leaves are a very dark green and look somewhat like the leaves of savoy cabbages, though the plant does not form a heart. The flavour is very good and the leaves can be eaten raw or cooked.The plant can be harvested all year round. The shoot tips are removed when about 15 - 20cm long, making sure that there is plenty of stem left. The plant then forms new sideshoots along the stem and these can also be harvested in their turn.		0	0	18/12/96 0:00:00
269	Brassica oleracea alboglabra	'Gai Choi'	Grows well in cooler climates, maturing in about 70 days from seed[264].	'Gai Lohn' 'Kaai Laan' 'Chinese Kale'	0	0	28/1/00 0:00:00
270	Brassica oleracea botrytis	''	There are many named varieties of this annual vegetable, with new forms being developed each year. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
271	Brassica oleracea capitata	''	There are many named varieties of this annual vegetable, with new forms being developed each year. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
272	Brassica oleracea costata	''	No entries have been made for this species as yet.		0	0	
273	Brassica oleracea gemmifera	'Bedford Fillbasket'	A heavy yielding form with large sprouts for cropping in the autumn to early winter[264]. The sprouts are exceptionally large, but still firm and of good quality[264].		0	0	28/1/00 0:00:00
274	Brassica oleracea gemmifera	'Early Half Tall'	Smaller than most cultivars, to 50cm tall, it crops from mid autumn until early winter[264].		0	0	28/1/00 0:00:00
275	Brassica oleracea gemmifera	'Rubine'	A red-leaved form, it is late to mature and cropping does not commence before late autumn or early winter[264].		0	0	28/1/00 0:00:00
276	Brassica oleracea gongylodes	''	There are some named varieties of this annual vegetable, with new forms being developed. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
277	Brassica oleracea italica	'Cruiser'	A mid-season calabrese, maturing in two months from sowing the seed and producing secondary shoots[264]. It does well in hot, dry conditions[264].		0	0	29/1/00 0:00:00
278	Brassica oleracea italica	'Early Purple Sprouting'	A very traditional and high yielding variety of sprouting broccoli, starting to crop in late winter and continuing for a period of 2 - 3 months.		0	0	29/1/00 0:00:00
279	Brassica oleracea italica	'Early White Sprouting'	A very traditional and high yielding variety of sprouting broccoli, starting to crop in late winter and continuing for a period of 2 - 3 months.		0	0	29/1/00 0:00:00
280	Brassica oleracea italica	'Late Purple Sprouting'	A very traditional and high yielding variety of sprouting broccoli, starting to crop about two weeks later than 'Early Purple Sprouting' and continuing for a period of 2 - 3 months.		0	0	29/1/00 0:00:00
281	Brassica oleracea italica	'Late White Sprouting'	A very traditional and high yielding variety of sprouting broccoli, starting to crop about two weeks later than 'Early White Sprouting' and continuing for a period of 2 - 3 months.		0	0	29/1/00 0:00:00
282	Brassica oleracea italica	'Minaret'	A Romanesco type, cropping in late autumn until early winter if given some protection from the cold.		0	0	29/1/00 0:00:00
283	Brassica oleracea italica	'Shogun'	A tall calabrese type with a central head up to 105mm across. It is tolerant of wet conditions.This variety can be sown under cover in mid autumn to produce a crop in late spring.		0	0	29/1/00 0:00:00
284	Brassica oleracea palmifolia	''	No entries have been made for this species as yet.		0	0	
285	Brassica oleracea ramosa	'Daubenton'	This is a truly perennial form of kale and can only be propagated by cuttings since it rarely if ever flowers or produces seed[K]. Another report says that only some of the branches flower each year[183]. A very productive leaf vegetable, the flavour and uses are the same as for the usual forms of kale.	'Perennial Daubenton'	0	0	20/10/96 0:00:00
286	Brassica oleracea ramosa	'Ragged Jack'	An ancient perennial variety with wavy red leaves[264].		0	0	28/1/00 0:00:00
287	Brassica oleracea ramosa	'Thousand Headed'	An exceptionally hardy and productive plant. The leaves can be eaten in the winter and the young shoots in early spring can be used like sprouting brocolli[264].		0	0	28/1/00 0:00:00
288	Brassica oleracea sabauda	''	There are many named varieties of this annual vegetable, with new forms being developed. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
289	Brassica oleracea viridis	''	There are many named varieties of this annual vegetable, with new forms being developed. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.There is one perennial cultivar, which is entered on the next page.		0	0	20/10/96 0:00:00
290	Brassica rapa	''	There are many named varieties of this annual vegetable, with new forms being developed each year. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
291	Brassica rapa chinensis	''	There are many named varieties of this annual vegetable, with new forms being developed each year. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
292	Brassica rapa nipposinica	''	No entries have been made for this species as yet.		0	0	
293	Brassica rapa parachinensis	''	No entries have been made for this species as yet.		0	0	
294	Brassica rapa pekinensis	'Market Pride'	A form that is suitable for cultivation in temperate regions[200].		0	0	26/12/99 0:00:00
295	Brassica rapa pekinensis	'Santo'	A form that is suitable for cultivation in temperate regions[200].		0	0	26/12/99 0:00:00
296	Brassica rapa pekinensis	'Tip Top'	A form that is suitable for cultivation in temperate regions[200].		0	0	26/12/99 0:00:00
297	Brassica rapa perviridis	''	No entries have been made for this species as yet.		0	0	
298	Bromus inermis	 'Prior'	A form developed in Sweden for use in permanent pastures or long leys on dry soils[269].		0	0	23/5/00 0:00:00
299	Bromus inermis	'Canadian Certified'	Derived from Siberian introductions, it is adapted to conditions in Canada and the northern Plains of the United States.The plant bunches more than southern strains, does not become sod-bound so rapidly[269].		0	0	23/5/00 0:00:00
300	Bromus inermis	'Chapple No. 14'	Derived from Siberian introductions, it is adapted to conditions in Canada and the northern Plains of the United States.The plant bunches more than southern strains, does not become sod-bound so rapidly[269].		0	0	23/5/00 0:00:00
301	Bromus inermis	'Mancharl'	Derived from Siberian introductions, it is adapted to conditions in Canada and the northern Plains of the United States.The plant bunches more than southern strains and does not become sod-bound so rapidly[269].		0	0	23/5/00 0:00:00
302	Bromus inermis	'Mandon 404'	Derived from Siberian introductions, it is adapted to conditions in Canada and the northern Plains of the United States.The plant bunches more than southern strains, does not become sod-bound so rapidly[269].		0	0	23/5/00 0:00:00
303	Bromus inermis	'Martin'	Derived from Siberian introductions, it is adapted to conditions in Canada and the northern Plains of the United States.The plant bunches more than southern strains, does not become sod-bound so rapidly[269].		0	0	23/5/00 0:00:00
304	Bromus inermis	'N.F.G.'	A form developed in Germany for use in moister, clayey soils[269].		0	0	23/5/00 0:00:00
305	Bromus inermis	'Parkland'	Derived from Siberian introductions, it is adapted to conditions in Canada and the northern Plains of the United States.The plant bunches more than southern strains, does not become sod-bound so rapidly[269].		0	0	23/5/00 0:00:00
306	Bromus inermis	'Von Kanekes'	A form developed in Germany for use in light soils[269].		0	0	23/5/00 0:00:00
307	Bromus inermis	'Wiley'	Derived from Siberian introductions, it is adapted to conditions in Canada and the northern Plains of the United States.The plant bunches more than southern strains, does not become sod-bound so rapidly[269].		0	0	23/5/00 0:00:00
308	Broussonetia papyrifera	''	No entries have been made for this species as yet.		0	0	
309	Buddleia davidii	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
310	Buxus microphylla	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
311	Buxus sempervirens	''	No entries have been made for this species as yet.		0	0	1996-03-10 00:00
312	Calendula officinalis	''	No entries have been made for this species as yet.		0	0	
313	Callistemon citrinus	'Splendens'	This cultivar is said to be particularly good in Britain and is possibly more hardy than the type[202]. It can tolerate temperatures down to about -5°c[260]. It grows well in desert and coastal areas and can flower all year round[260].		0	0	17/12/99 0:00:00
314	Calluna vulgaris	'White Lawn'	This cultivar has been recommended as a useful ground cover plant for covering dry banks[188, 197].		0	0	1998-05-01 00:00
315	Caltha palustris	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
316	Camassia leichtlinii	''	No entries have been made for this species as yet.		0	0	
317	Camassia quamash	''	No entries have been made for this species as yet.		0	0	
318	Camelina sativa	'Gold of Pleasure'	This form is occasionally cultivated as an oil crop[17, 171].		0	0	26/1/97 0:00:00
319	Camellia japonica	'Alba Simplex'	This cultivar has been seen on a number of occasions bearing good crops of fertile seed[K].		0	0	28/9/96 0:00:00
320	Camellia japonica	'Coppelia'	This cultivar has been seen on a number of occasions bearing good crops of fertile seed[K].		0	0	28/9/96 0:00:00
321	Camellia japonica	'Guilio Nuccio'	A single-flowered cultivar originating in California, it regularly sets seed in Porthpean garden in southern Cornwall[K].		0	0	
322	Camellia japonica	'Jupiter'	This single-flowered cultivar regularly sets seed in British gardens[K].		0	0	
323	Camellia oleifera	''	No entries have been made for this species as yet.		0	0	
324	Camellia reticulata	''	No entries have been made for this species as yet.		0	0	
325	Camellia sasanqua	'Narumi-gata'	This cultivar is a very reliable shrub in Britain[11].		0	0	14/12/99 0:00:00
326	Camellia sasanqua	'Onigoromo'	This cultivar has been especially mentioned as being suitable for hedging.		0	0	1998-05-01 00:00
327	Camellia sinensis	'Hsüeh-ch'a'	This is a Chinese form that is said to grow in areas within the snow limit on the mountains of Lingchiangfu in Yunnan province[178].		0	0	26/1/97 0:00:00
328	Campanula alliariifolia	''	No entries have been made for this species as yet.		0	0	
329	Campanula carpatica	'Chewton Joy'	Smaller than the species, growing about 20cm tall, it also flowers a bit later than the species[271]. This form has pleasantly flavoured leaves[K].		0	0	2002-11-07 00:00
330	Campanula carpatica turbinata	''	No entries have been made for this species as yet.		0	0	
331	Campanula cochleariifolia	'Elizabeth Oliver'	This is a double-flowered form that has pleasantly flavoured leaves[K].		0	0	2002-11-07 00:00
332	Campanula garganica	'Dickson's Gold'	This form has golden-green leaves with a pleasant mild flavour[K]. It is slower-growing than the species but is generally very robust and long lived if grown in its preferred habitat of a scree[271].		0	0	2002-11-07 00:00
333	Campanula glomerata	'Superba'	Violet-purple coloured flowers. A strong-growing plant, but can be invasive, spreading by means of a creeping rootstock[271].		0	0	2002-11-07 00:00
334	Campanula lactiflora	'Prichard's Variety'	A vigorous free-flowering form with dark purple flowers.		0	0	2002-11-07 00:00
335	Campanula lasiocarpa	''	No entries have been made for this species as yet.		0	0	
336	Campanula latifolia	'Brantwood'	Deep violet blue flowers, it is longer-flowering than the species and will usually produce a second flush of flowers if the flowering stems are removed as the flowers fade[271].		0	0	2002-11-07 00:00
337	Campanula latiloba	'Hidcote Amethyst'	A very ornamental form of the species, the leaves have a very pleasant sweetness[K].		0	0	18/4/00 0:00:00
338	Campanula medium	''	No entries have been made for this species as yet.		0	0	
339	Campanula persicifolia	'Moerheimii'	Growing about 75cm tall, a form with double white flowers. The flowers have much more substance to them than single flowered forms and have a sweet and pleasant flavour[K].		0	0	28/7/02 0:00:00
340	Campanula portenschlagiana	'Resholdt's Variety'	This variety has larger flowers and leaves than the species[271]. The flowers are paler in colour[271].		0	0	2002-11-07 00:00
341	Campanula poscharskyana	'E. K. Toogood'	This cultivar is less vigorous than the species and so is more suitable for growing where space is restricted[197].		0	0	16/1/97 0:00:00
342	Campanula punctata	''	No entries have been made for this species as yet.		0	0	
343	Campanula pyramidalis	''	No entries have been made for this species as yet.		0	0	
344	Campsis radicans	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
345	Canna edulis	''	No entries have been made for this species as yet.		0	0	
346	Cannabis sativa	''	No entries have been made for this species as yet.		0	0	
347	Capparis spinosa	'Spineless'	A spineless form, which makes harvesting the fruits much easier. The fruits are used in the same way as the species[183].	'Senza spine'	0	0	1996-01-10 00:00
348	Capsicum annuum	''	There are many named varieties of this annual vegetable, with new forms being developed each year. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
349	Capsicum frutescens	''	There are many named varieties of this annual vegetable, with new forms being developed. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
350	Capsicum pubescens	'Cuzco'	The heavy squat fruit has a thick, sweet, flavourful flesh with an extremely hot seed core[183].A bushy, thick-trunked plant that bears prolifically and is perennial in warm climates[183]. It tolerates light frosts[183].		0	0	1996-11-10 00:00
351	Caragana arborescens	'Nana'	A very compact dwarf form[183] that grows slowly[11].		0	0	26/1/97 0:00:00
352	Caragana arborescens	'Pendula'	A form with stiffly pendent branches, but otherwise the same as the type species[11].		0	0	26/1/97 0:00:00
353	Caragana boisii	''	No entries have been made for this species as yet.		0	0	
354	Caragana fruticosa	''	No entries have been made for this species as yet.		0	0	
355	Cardamine pratensis	''	No entries have been made for this species as yet.		0	0	
356	Carthamnus tinctorius	'Dart'	Cold tolerant during early growth, it has tolerance for Phytophthora, Puccinia and Verticillium. In a 5-year period of testing at Mesa, 'Dart' averaged 4,004 kg/ha[269].		0	0	24/5/00 0:00:00
357	Carthamnus tinctorius	'Frio'	A highly cold tolerant variety with oil and protein content higher than 'Gila'[269].		0	0	24/5/00 0:00:00
358	Carthamnus tinctorius	'Gila'	A high yielding, high test-weight variety, adapted to Arizona growing conditions[269].		0	0	24/5/00 0:00:00
359	Carthamnus tinctorius	'US 10'	Yield and oil percentage about equal to 'Gila', but plants are resistant to Phytophthora root rot[269].		0	0	24/5/00 0:00:00
360	Carum carvi	''	No entries have been made for this species as yet.		0	0	
361	Carya glabra	''	No entries have been made for this species as yet.		0	0	
362	Carya illinoinensis	'Canton'	An extra large, thin shelled pecan, it is proving to be a good produucer of early maturing nuts[183].This is one of a group of cultivars that succeed in the very northern limits of pecan production[183], and so is more likely to succeed in Britain[K].		0	0	23/10/96 0:00:00
363	Carya illinoinensis	'Carlson 3'	An early maturing cultivar that is being trialed in Canada[183]. Grafted plants flower in their third or fourth year after grafting[183]. This is one of a group of cultivars that succeed in the very northern limits of pecan production[183], and so is more likely to succeed in Britain[K].		0	0	23/10/96 0:00:00
